NúmeroDoPedido,CódigoDoCliente,CódigoDoFuncionário,DataDoPedido,DataDeEntrega,DataDeEntrega,DataDeEnvio,Via,Frete,NomeDoDestinatário,EndereçoDoDestinatário,CidadeDeDestino,RegiãoDeDestino,CEPdeDestino,PaísDeDestino
10258,ERNSH,1,7/12/2016,8/9/2016,8/4/2036,7/18/2016,1,140.51,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10259,CENTC,4,7/13/2016,8/10/2016,8/5/2036,7/20/2016,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,México
10260,OTTIK,4,7/14/2016,8/11/2016,8/6/2036,7/24/2016,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Alemanha
10261,QUEDE,4,7/14/2016,8/11/2016,8/6/2036,7/25/2016,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brasil
10262,RATTC,8,7/17/2016,8/14/2016,8/9/2036,7/20/2016,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10263,ERNSH,9,7/18/2016,8/15/2016,8/10/2036,7/26/2016,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10264,FOLKO,6,7/19/2016,8/16/2016,8/11/2036,8/18/2016,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suécia
10265,BLONP,2,7/20/2016,8/17/2016,8/12/2036,8/7/2016,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,França
10266,WARTH,3,7/21/2016,9/1/2016,8/27/2036,7/26/2016,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlândia
10267,FRANK,4,7/24/2016,8/21/2016,8/16/2036,8/1/2016,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Alemanha
10268,GROSR,8,7/25/2016,8/22/2016,8/17/2036,7/28/2016,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,7/26/2016,8/9/2016,8/4/2036,8/4/2016,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,EUA
10270,WARTH,1,7/27/2016,8/24/2016,8/19/2036,7/28/2016,1,136.54,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlândia
10271,SPLIR,6,7/27/2016,8/24/2016,8/19/2036,8/25/2016,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,EUA
10272,RATTC,6,7/28/2016,8/25/2016,8/20/2036,8/1/2016,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10273,QUICK,3,7/31/2016,8/28/2016,8/23/2036,8/7/2016,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10274,VINET,6,8/1/2016,8/29/2016,8/24/2036,8/11/2016,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,França
10275,MAGAA,1,8/2/2016,8/30/2016,8/25/2036,8/4/2016,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Itália
10276,TORTU,8,8/3/2016,8/17/2016,8/12/2036,8/9/2016,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10277,MORGK,2,8/4/2016,9/1/2016,8/27/2036,8/8/2016,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Alemanha
10278,BERGS,8,8/7/2016,9/4/2016,8/30/2036,8/11/2016,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suécia
10279,LEHMS,8,8/8/2016,9/5/2016,8/31/2036,8/11/2016,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemanha
10280,BERGS,2,8/9/2016,9/6/2016,9/1/2036,9/7/2016,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suécia
10281,ROMEY,4,8/9/2016,8/23/2016,8/18/2036,8/16/2016,1,2.94,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Espanha
10282,ROMEY,4,8/10/2016,9/7/2016,9/2/2036,8/16/2016,1,12.69,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Espanha
10283,LILAS,3,8/11/2016,9/8/2016,9/3/2036,8/18/2016,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,8/14/2016,9/11/2016,9/6/2036,8/22/2016,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemanha
10285,QUICK,1,8/15/2016,9/12/2016,9/7/2036,8/21/2016,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10286,QUICK,8,8/16/2016,9/13/2016,9/8/2036,8/25/2016,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10287,RICAR,8,8/17/2016,9/14/2016,9/9/2036,8/23/2016,3,12.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brasil
10288,REGGC,4,8/18/2016,9/15/2016,9/10/2036,8/29/2016,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Itália
10289,BSBEV,7,8/21/2016,9/18/2016,9/13/2036,8/23/2016,3,22.77,B's Beverages,Fauntleroy Circus,London,,EC2 5NT,Reino Unido
10290,COMMI,8,8/22/2016,9/19/2016,9/14/2036,8/29/2016,1,79.70,Comércio Mineiro,"Av. dos Lusíadas, 23",São Paulo,SP,05432-043,Brasil
10291,QUEDE,6,8/22/2016,9/19/2016,9/14/2036,8/30/2016,2,6.40,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brasil
10292,TRADH,1,8/23/2016,9/20/2016,9/15/2036,8/28/2016,2,1.35,Tradição Hipermercados,"Av. Inês de Castro, 414",São Paulo,SP,05634-030,Brasil
10293,TORTU,1,8/24/2016,9/21/2016,9/16/2036,9/6/2016,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10294,RATTC,4,8/25/2016,9/22/2016,9/17/2036,8/31/2016,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10295,VINET,2,8/28/2016,9/25/2016,9/20/2036,9/5/2016,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,França
10296,LILAS,6,8/29/2016,9/26/2016,9/21/2036,9/6/2016,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,8/30/2016,10/11/2016,10/6/2036,9/5/2016,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,França
10298,HUNGO,6,8/31/2016,9/28/2016,9/23/2036,9/6/2016,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10299,RICAR,4,9/1/2016,9/29/2016,9/24/2036,9/8/2016,2,29.76,Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brasil
10300,MAGAA,2,9/4/2016,10/2/2016,9/27/2036,9/13/2016,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Itália
10301,WANDK,8,9/4/2016,10/2/2016,9/27/2036,9/12/2016,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemanha
10302,SUPRD,4,9/5/2016,10/3/2016,9/28/2036,10/4/2016,2,6.27,Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Bélgica
10303,GODOS,7,9/6/2016,10/4/2016,9/29/2036,9/13/2016,2,107.83,Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Espanha
10304,TORTU,1,9/7/2016,10/5/2016,9/30/2036,9/12/2016,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10305,OLDWO,8,9/8/2016,10/6/2016,10/1/2036,10/4/2016,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,EUA
10306,ROMEY,1,9/11/2016,10/9/2016,10/4/2036,9/18/2016,3,7.56,Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Espanha
10307,LONEP,2,9/12/2016,10/10/2016,10/5/2036,9/20/2016,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,EUA
10308,ANATR,7,9/13/2016,10/11/2016,10/6/2036,9/19/2016,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,México
10309,HUNGO,3,9/14/2016,10/12/2016,10/7/2036,10/18/2016,1,47.30,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10310,THEBI,8,9/15/2016,10/13/2016,10/8/2036,9/22/2016,2,17.52,The Big Cheese,"89 Jefferson Way
Suite 2",Portland,OR,97201,EUA
10311,DUMON,1,9/15/2016,9/29/2016,9/24/2036,9/21/2016,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,França
10312,WANDK,2,9/18/2016,10/16/2016,10/11/2036,9/28/2016,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemanha
10313,QUICK,2,9/19/2016,10/17/2016,10/12/2036,9/29/2016,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10314,RATTC,1,9/20/2016,10/18/2016,10/13/2036,9/29/2016,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10315,ISLAT,4,9/21/2016,10/19/2016,10/14/2036,9/28/2016,2,41.76,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10316,RATTC,1,9/22/2016,10/20/2016,10/15/2036,10/3/2016,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10317,LONEP,6,9/25/2016,10/23/2016,10/18/2036,10/5/2016,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,EUA
10318,ISLAT,8,9/26/2016,10/24/2016,10/19/2036,9/29/2016,2,4.73,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10319,TORTU,7,9/27/2016,10/25/2016,10/20/2036,10/6/2016,3,64.50,Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,México
10320,WARTH,5,9/28/2016,10/12/2016,10/7/2036,10/13/2016,3,34.57,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlândia
10321,ISLAT,3,9/28/2016,10/26/2016,10/21/2036,10/6/2016,2,3.43,Island Trading,"Garden House
Crowther Way",Cowes,Isle of Wight,PO31 7PJ,Reino Unido
10322,PERIC,7,9/29/2016,10/27/2016,10/22/2036,10/18/2016,3,0.40,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,México
10323,KOENE,4,10/2/2016,10/30/2016,10/25/2036,10/9/2016,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Alemanha
10324,SAVEA,9,10/3/2016,10/31/2016,10/26/2036,10/5/2016,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,EUA
10325,KOENE,1,10/4/2016,10/18/2016,10/13/2036,10/9/2016,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Alemanha
10326,BOLID,4,10/5/2016,11/2/2016,10/28/2036,10/9/2016,2,77.92,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Espanha
10327,FOLKO,2,10/6/2016,11/3/2016,10/29/2036,10/9/2016,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suécia
10328,FURIB,4,10/9/2016,11/6/2016,11/1/2036,10/12/2016,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10329,SPLIR,4,10/10/2016,11/21/2016,11/16/2036,10/18/2016,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,EUA
10330,LILAS,3,10/11/2016,11/8/2016,11/3/2036,10/23/2016,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,10/11/2016,11/22/2016,11/17/2036,10/16/2016,1,10.19,Bon app',"12, rue des Bouchers",Marseille,,13008,França
10332,MEREP,3,10/12/2016,11/23/2016,11/18/2036,10/16/2016,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10333,WARTH,5,10/13/2016,11/10/2016,11/5/2036,10/20/2016,3,0.59,Wartian Herkku,Torikatu 38,Oulu,,90110,Finlândia
10334,VICTE,8,10/16/2016,11/13/2016,11/8/2036,10/23/2016,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,França
10335,HUNGO,7,10/17/2016,11/14/2016,11/9/2036,10/19/2016,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10336,PRINI,7,10/18/2016,11/15/2016,11/10/2036,10/20/2016,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10337,FRANK,4,10/19/2016,11/16/2016,11/11/2036,10/24/2016,3,108.26,Frankenversand,Berliner Platz 43,München,,80805,Alemanha
10338,OLDWO,4,10/20/2016,11/17/2016,11/12/2036,10/24/2016,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,EUA
10339,MEREP,2,10/23/2016,11/20/2016,11/15/2036,10/30/2016,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10340,BONAP,1,10/24/2016,11/21/2016,11/16/2036,11/3/2016,3,166.31,Bon app',"12, rue des Bouchers",Marseille,,13008,França
10341,SIMOB,7,10/24/2016,11/21/2016,11/16/2036,10/31/2016,3,26.78,Simons bistro,Vinbæltet 34,København,,1734,Dinamarca
10342,FRANK,4,10/25/2016,11/8/2016,11/3/2036,10/30/2016,2,54.83,Frankenversand,Berliner Platz 43,München,,80805,Alemanha
10343,LEHMS,4,10/26/2016,11/23/2016,11/18/2036,11/1/2016,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Alemanha
10344,WHITC,4,10/27/2016,11/24/2016,11/19/2036,10/31/2016,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,EUA
10345,QUICK,2,10/30/2016,11/27/2016,11/22/2036,11/6/2016,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10346,RATTC,3,10/31/2016,12/12/2016,12/7/2036,11/3/2016,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10347,FAMIA,4,11/1/2016,11/29/2016,11/24/2036,11/3/2016,3,3.10,Familia Arquibaldo,"Rua Orós, 92",São Paulo,SP,05442-030,Brasil
10348,WANDK,4,11/2/2016,11/30/2016,11/25/2036,11/10/2016,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemanha
10349,SPLIR,7,11/3/2016,12/1/2016,11/26/2036,11/10/2016,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,EUA
10350,LAMAI,6,11/6/2016,12/4/2016,11/29/2036,11/28/2016,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,França
10351,ERNSH,1,11/6/2016,12/4/2016,11/29/2036,11/15/2016,1,162.33,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10352,FURIB,3,11/7/2016,11/21/2016,11/16/2036,11/13/2016,3,1.30,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
10353,PICCO,7,11/8/2016,12/6/2016,12/1/2036,11/20/2016,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Áustria
10354,PERIC,8,11/9/2016,12/7/2016,12/2/2036,11/15/2016,3,53.80,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,México
10355,AROUT,6,11/10/2016,12/8/2016,12/3/2036,11/15/2016,1,41.95,Around the Horn,"Brook Farm
Stratford St. Mary",Colchester,Essex,CO7 6JX,Reino Unido
10356,WANDK,6,11/13/2016,12/11/2016,12/6/2036,11/22/2016,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Alemanha
10357,LILAS,1,11/14/2016,12/12/2016,12/7/2036,11/27/2016,3,34.88,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10358,LAMAI,5,11/15/2016,12/13/2016,12/8/2036,11/22/2016,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,França
10359,SEVES,5,11/16/2016,12/14/2016,12/9/2036,11/21/2016,3,288.43,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10360,BLONP,4,11/17/2016,12/15/2016,12/10/2036,11/27/2016,3,131.70,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,França
10361,QUICK,1,11/17/2016,12/15/2016,12/10/2036,11/28/2016,2,183.17,QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Alemanha
10362,BONAP,3,11/20/2016,12/18/2016,12/13/2036,11/23/2016,1,96.04,Bon app',"12, rue des Bouchers",Marseille,,13008,França
10363,DRACD,4,11/21/2016,12/19/2016,12/14/2036,11/29/2016,3,30.54,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Alemanha
10364,EASTC,1,11/21/2016,1/2/2017,12/28/2036,11/29/2016,1,71.97,Eastern Connection,35 King George,London,,WX3 6FW,Reino Unido
10365,ANTON,3,11/22/2016,12/20/2016,12/15/2036,11/27/2016,2,22.00,Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,México
10366,GALED,8,11/23/2016,1/4/2017,12/30/2036,12/25/2016,2,10.14,Galería del gastronómo,"Rambla de Cataluña, 23",Barcelona,,8022,Espanha
10367,VAFFE,7,11/23/2016,12/21/2016,12/16/2036,11/27/2016,3,13.55,Vaffeljernet,Smagsløget 45,Århus,,8200,Dinamarca
10368,ERNSH,2,11/24/2016,12/22/2016,12/17/2036,11/27/2016,2,101.95,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10369,SPLIR,8,11/27/2016,12/25/2016,12/20/2036,12/4/2016,2,195.68,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,EUA
10370,CHOPS,6,11/28/2016,12/26/2016,12/21/2036,12/22/2016,2,1.17,Chop-suey Chinese,Hauptstr. 31,Bern,,3012,Suíça
10371,LAMAI,1,11/28/2016,12/26/2016,12/21/2036,12/19/2016,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,França
10372,QUEEN,5,11/29/2016,12/27/2016,12/22/2036,12/4/2016,2,890.78,Queen Cozinha,"Alameda dos Canàrios, 891",São Paulo,SP,05487-020,Brasil
10373,HUNGO,4,11/30/2016,12/28/2016,12/23/2036,12/6/2016,3,124.12,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10374,WOLZA,1,11/30/2016,12/28/2016,12/23/2036,12/4/2016,3,3.94,Wolski Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Polônia
10375,HUNGC,3,12/1/2016,12/29/2016,12/24/2036,12/4/2016,2,20.12,Hungry Coyote Import Store,"City Center Plaza
516 Main St.",Elgin,OR,97827,EUA
10376,MEREP,1,12/4/2016,1/1/2017,12/27/2036,12/8/2016,2,20.39,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canadá
10377,SEVES,1,12/4/2016,1/1/2017,12/27/2036,12/8/2016,3,22.21,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10378,FOLKO,5,12/5/2016,1/2/2017,12/28/2036,12/14/2016,3,5.44,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Suécia
10379,QUEDE,2,12/6/2016,1/3/2017,12/29/2036,12/8/2016,1,45.03,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brasil
10380,HUNGO,8,12/7/2016,1/4/2017,12/30/2036,1/11/2017,3,35.03,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Irlanda
10381,LILAS,3,12/7/2016,1/4/2017,12/30/2036,12/8/2016,3,7.99,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10382,ERNSH,4,12/8/2016,1/5/2017,12/31/2036,12/11/2016,1,94.77,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10383,AROUT,8,12/11/2016,1/8/2017,1/3/2037,12/13/2016,3,34.24,Around the Horn,"Brook Farm
Stratford St. Mary",Colchester,Essex,CO7 6JX,Reino Unido
10384,BERGS,3,12/11/2016,1/8/2017,1/3/2037,12/15/2016,3,168.64,Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Suécia
10385,SPLIR,1,12/12/2016,1/9/2017,1/4/2037,12/18/2016,2,30.96,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,EUA
10386,FAMIA,9,12/13/2016,12/27/2016,12/22/2036,12/20/2016,3,13.99,Familia Arquibaldo,"Rua Orós, 92",São Paulo,SP,05442-030,Brasil
10387,SANTG,1,12/13/2016,1/10/2017,1/5/2037,12/15/2016,2,93.63,Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Noruega
10388,SEVES,2,12/14/2016,1/11/2017,1/6/2037,12/15/2016,1,34.86,Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido
10389,BOTTM,4,12/15/2016,1/12/2017,1/7/2037,12/19/2016,2,47.42,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canadá
10390,ERNSH,6,12/18/2016,1/15/2017,1/10/2037,12/21/2016,1,126.38,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10391,DRACD,3,12/18/2016,1/15/2017,1/10/2037,12/26/2016,3,5.45,Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Alemanha
10392,PICCO,2,12/19/2016,1/16/2017,1/11/2037,12/27/2016,3,122.46,Piccolo und mehr,Geislweg 14,Salzburg,,5020,Áustria
10393,SAVEA,1,12/20/2016,1/17/2017,1/12/2037,12/29/2016,3,126.56,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,EUA
10394,HUNGC,1,12/20/2016,1/17/2017,1/12/2037,12/29/2016,3,30.34,Hungry Coyote Import Store,"City Center Plaza
516 Main St.",Elgin,OR,97827,EUA
10395,HILAA,6,12/21/2016,1/18/2017,1/13/2037,12/29/2016,1,184.41,HILARIÓN-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10396,FRANK,1,12/22/2016,1/5/2017,12/31/2036,1/1/2017,3,135.35,Frankenversand,Berliner Platz 43,München,,80805,Alemanha
10397,PRINI,5,12/22/2016,1/19/2017,1/14/2037,12/28/2016,1,60.26,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
10398,SAVEA,2,12/25/2016,1/22/2017,1/17/2037,1/4/2017,3,89.16,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,EUA
10399,VAFFE,8,12/26/2016,1/9/2017,1/4/2037,1/3/2017,3,27.36,Vaffeljernet,Smagsløget 45,Århus,,8200,Dinamarca
10400,EASTC,1,12/27/2016,1/24/2017,1/19/2037,1/11/2017,3,83.93,Eastern Connection,35 King George,London,,WX3 6FW,Reino Unido
10401,RATTC,1,12/27/2016,1/24/2017,1/19/2037,1/5/2017,1,12.51,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,EUA
10402,ERNSH,8,12/28/2016,2/8/2017,2/3/2037,1/5/2017,2,67.88,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10403,ERNSH,4,12/29/2016,1/26/2017,1/21/2037,1/4/2017,3,73.79,Ernst Handel,Kirchgasse 6,Graz,,8010,Áustria
10404,MAGAA,2,12/29/2016,1/26/2017,1/21/2037,1/3/2017,1,155.97,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Itália
10405,LINOD,1,1/1/2017,1/29/2017,1/24/2037,1/17/2017,1,34.82,LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
10406,QUEEN,7,1/2/2017,2/13/2017,2/8/2037,1/8/2017,1,108.04,Queen Cozinha,"Alameda dos Canàrios, 891",São Paulo,SP,05487-020,Brasil
10407,OTTIK,2,1/2/2017,1/30/2017,1/25/2037,1/25/2017,2,91.48,Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Alemanha
10408,FOLIG,8,1/3/2017,1/31/2017,1/26/2037,1/9/2017,1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,França
10409,OCEAN,3,1/4/2017,2/1/2017,1/27/2037,1/9/2017,1,29.83,Océano Atlántico Ltda.,"Ing. Gustavo Moncada 8585
Piso 20-A",Buenos Aires,,1010,Argentina
10410,BOTTM,3,1/5/2017,2/2/2017,1/28/2037,1/10/2017,3,2.40,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canadá
